time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2019-07-17T16:00:02.600Z,40.5925329,-111.7206149,3396.202,0.03,-0.10,0.02,0.763,0.862,0.32,286.69924,3.01031,,19
2019-07-17T16:00:02.800Z,40.5925330,-111.7206152,3396.179,-0.07,-0.06,-0.01,0.768,0.869,0.28,220.60129,3.01932,,19
2019-07-17T16:00:03.000Z,40.5925327,-111.7206154,3396.174,-0.22,-0.07,0.07,0.773,0.875,0.25,197.65012,1.03628,,19
2019-07-17T16:00:03.200Z,40.5925324,-111.7206155,3396.153,-0.19,0.07,0.15,0.778,0.882,0.26,159.77514,1.03178,,19
2019-07-17T16:00:03.400Z,40.5925324,-111.7206154,3396.147,0.13,0.08,-0.08,0.783,0.888,0.25,31.60750,1.45065,,19
2019-07-17T16:00:03.600Z,40.5925326,-111.7206153,3396.142,-0.03,0.12,0.06,0.788,0.894,0.30,104.03624,2.18218,,19
2019-07-17T16:00:03.800Z,40.5925324,-111.7206154,3396.107,-0.27,-0.08,0.14,0.792,0.900,0.25,196.50436,0.79495,,19
2019-07-17T16:00:04.000Z,40.5925321,-111.7206155,3396.072,-0.20,0.07,0.16,0.797,0.905,0.27,160.70995,1.01688,,19
2019-07-17T16:00:04.200Z,40.5925319,-111.7206154,3396.029,-0.11,0.11,0.00,0.802,0.911,0.34,135.00000,2.18560,,19
2019-07-17T16:00:04.400Z,40.5925319,-111.7206153,3396.000,0.02,0.10,0.05,0.807,0.916,0.31,78.69007,2.72940,,19
2019-07-17T16:00:04.600Z,40.5925318,-111.7206151,3395.900,-0.42,0.19,0.44,0.811,0.921,0.26,155.65891,0.40800,,19
2019-07-17T16:00:04.800Z,40.5925310,-111.7206150,3395.764,-0.52,0.04,0.72,0.816,0.928,0.26,175.60129,0.29245,,19
2019-07-17T16:00:05.000Z,40.5925302,-111.7206149,3395.584,-0.46,0.03,0.87,0.822,0.934,0.25,176.26860,0.25392,,19
2019-07-17T16:00:05.200Z,40.5925292,-111.7206146,3395.371,-0.58,0.19,1.03,0.820,0.927,0.20,161.86192,0.16705,,19
2019-07-17T16:00:05.400Z,40.5925279,-111.7206141,3395.047,-0.60,0.24,2.24,0.813,0.919,0.19,158.19859,0.08150,,19
2019-07-17T16:00:05.600Z,40.5925248,-111.7206129,3394.695,-2.50,0.71,1.24,0.808,0.914,0.17,164.14545,0.05904,,19
2019-07-17T16:00:05.800Z,40.5925171,-111.7206097,3394.446,-5.87,1.79,0.89,0.803,0.911,0.17,163.04142,0.02741,,19
2019-07-17T16:00:06.000Z,40.5925074,-111.7206056,3393.765,-4.97,1.39,5.25,0.799,0.909,0.18,164.37486,0.02445,,18
2019-07-17T16:00:06.200Z,40.5924997,-111.7206026,3392.549,-3.77,1.07,6.43,0.796,0.908,0.19,164.15502,0.02523,,18
2019-07-17T16:00:06.400Z,40.5924929,-111.7205994,3391.033,-3.80,1.52,8.25,0.793,0.907,0.19,158.19859,0.02063,,19
2019-07-17T16:00:06.600Z,40.5924861,-111.7205959,3389.123,-3.92,1.39,9.99,0.790,0.906,0.19,160.47591,0.01756,,19
2019-07-17T16:00:06.800Z,40.5924789,-111.7205925,3386.896,-4.04,1.44,11.69,0.787,0.904,0.20,160.38212,0.01606,,19
2019-07-17T16:00:07.000Z,40.5924715,-111.7205889,3384.318,-4.18,1.56,13.65,0.783,0.903,0.20,159.53414,0.01393,,19
2019-07-17T16:00:07.200Z,40.5924637,-111.7205854,3381.404,-4.37,1.40,15.14,0.779,0.901,0.20,162.23630,0.01264,,19
2019-07-17T16:00:07.400Z,40.5924552,-111.7205818,3378.140,-5.07,1.65,16.89,0.777,0.899,0.20,161.97284,0.01129,,19
2019-07-17T16:00:07.600Z,40.5924461,-111.7205779,3374.546,-5.11,1.62,18.67,0.774,0.899,0.20,162.41006,0.01030,,19
2019-07-17T16:00:07.800Z,40.5924360,-111.7205740,3370.676,-6.09,1.65,19.57,0.773,0.898,0.21,164.84045,0.01021,,19
2019-07-17T16:00:08.000Z,40.5924242,-111.7205700,3366.579,-7.01,1.67,21.11,0.771,0.898,0.21,166.60014,0.00941,,18
2019-07-17T16:00:08.200Z,40.5924107,-111.7205659,3362.223,-7.80,1.75,22.31,0.770,0.899,0.21,167.35458,0.00886,,18
2019-07-17T16:00:08.400Z,40.5923956,-111.7205617,3357.652,-8.92,1.74,23.29,0.770,0.900,0.21,168.96208,0.00840,,17
2019-07-17T16:00:08.600Z,40.5923784,-111.7205576,3352.903,-10.07,1.73,24.17,0.769,0.900,0.20,170.25189,0.00762,,17
2019-07-17T16:00:08.800Z,40.5923593,-111.7205536,3347.961,-11.16,1.73,25.04,0.769,0.902,0.20,171.18826,0.00728,,17
2019-07-17T16:00:09.000Z,40.5923382,-111.7205497,3342.862,-12.20,1.60,25.84,0.768,0.903,0.20,172.52844,0.00699,,17
2019-07-17T16:00:09.200Z,40.5923151,-111.7205460,3337.620,-13.40,1.53,26.49,0.768,0.905,0.21,173.48623,0.00706,,17
2019-07-17T16:00:09.400Z,40.5922898,-111.7205426,3332.239,-14.59,1.46,27.22,0.769,0.907,0.20,174.28552,0.00647,,17
2019-07-17T16:00:09.600Z,40.5922626,-111.7205393,3326.707,-15.75,1.34,27.81,0.769,0.910,0.20,175.13702,0.00625,,17
2019-07-17T16:00:09.800Z,40.5922329,-111.7205363,3321.126,-16.94,1.30,28.43,0.768,0.911,0.20,175.61164,0.00604,,17
2019-07-17T16:00:10.000Z,40.5922015,-111.7205334,3315.367,-17.95,1.23,28.96,0.768,0.914,0.20,176.08001,0.00587,,17
2019-07-17T16:00:10.200Z,40.5921681,-111.7205305,3309.513,-19.13,1.32,29.49,0.768,0.916,0.20,176.05276,0.00569,,16
2019-07-17T16:00:10.400Z,40.5921325,-111.7205275,3303.596,-20.24,1.28,30.14,0.767,0.917,0.20,176.38137,0.00551,,16
2019-07-17T16:00:10.600Z,40.5920949,-111.7205246,3297.563,-21.26,1.29,30.50,0.766,0.918,0.20,176.52770,0.00538,,16
2019-07-17T16:00:10.800Z,40.5920554,-111.7205217,3291.463,-22.47,1.18,30.72,0.766,0.919,0.20,176.99390,0.00525,,16
2019-07-17T16:00:11.000Z,40.5920137,-111.7205191,3285.323,-23.66,1.08,31.07,0.765,0.920,0.20,177.38645,0.00512,,16
2019-07-17T16:00:11.200Z,40.5919698,-111.7205167,3279.134,-24.83,0.99,31.14,0.765,0.921,0.19,177.71676,0.00477,,16
2019-07-17T16:00:11.400Z,40.5919239,-111.7205146,3272.930,-26.04,0.95,31.16,0.764,0.922,0.19,177.91064,0.00468,,16
2019-07-17T16:00:11.600Z,40.5918760,-111.7205124,3266.692,-27.12,0.98,31.33,0.763,0.923,0.19,177.93048,0.00458,,16
2019-07-17T16:00:11.800Z,40.5918262,-111.7205103,3260.423,-28.14,0.87,31.44,0.762,0.924,0.19,178.22916,0.00450,,16
2019-07-17T16:00:12.000Z,40.5917745,-111.7205084,3254.138,-29.14,0.83,31.59,0.762,0.925,0.19,178.36847,0.00442,,16
2019-07-17T16:00:12.200Z,40.5917211,-111.7205067,3247.798,-30.23,0.70,31.66,0.761,0.926,0.19,178.67351,0.00434,,16
2019-07-17T16:00:12.400Z,40.5916657,-111.7205054,3241.500,-31.29,0.54,31.48,0.761,0.927,0.19,179.01129,0.00428,,16
2019-07-17T16:00:12.600Z,40.5916083,-111.7205044,3235.262,-32.32,0.31,31.11,0.760,0.928,0.19,179.45046,0.00424,,16
2019-07-17T16:00:12.800Z,40.5915491,-111.7205040,3229.076,-33.42,0.09,30.78,0.760,0.929,0.18,179.84570,0.00396,,16
2019-07-17T16:00:13.000Z,40.5914881,-111.7205040,3222.954,-34.33,-0.06,30.60,0.760,0.930,0.18,180.10014,0.00391,,16
2019-07-17T16:00:13.200Z,40.5914255,-111.7205045,3216.885,-35.26,-0.35,30.13,0.760,0.932,0.18,180.56871,0.00388,,16
2019-07-17T16:00:13.400Z,40.5913613,-111.7205058,3210.905,-36.08,-0.64,29.78,0.761,0.933,0.18,181.01623,0.00385,,16
2019-07-17T16:00:13.600Z,40.5912955,-111.7205077,3204.995,-36.96,-0.96,29.51,0.761,0.935,0.18,181.48787,0.00381,,15
2019-07-17T16:00:13.800Z,40.5912284,-111.7205106,3199.087,-37.62,-1.35,29.51,0.761,0.935,0.18,182.05519,0.00376,,15
2019-07-17T16:00:14.000Z,40.5911601,-111.7205143,3193.186,-38.13,-1.67,29.80,0.762,0.937,0.18,182.50781,0.00372,,15
2019-07-17T16:00:14.200Z,40.5910913,-111.7205190,3187.203,-38.34,-2.21,30.18,0.764,0.940,0.18,183.29900,0.00369,,15
2019-07-17T16:00:14.400Z,40.5910220,-111.7205251,3181.107,-38.77,-2.80,30.71,0.766,0.944,0.18,184.13077,0.00363,,15
2019-07-17T16:00:14.600Z,40.5909517,-111.7205325,3174.971,-39.12,-3.32,31.18,0.767,0.944,0.17,184.85090,0.00339,,15
2019-07-17T16:00:14.800Z,40.5908807,-111.7205415,3168.782,-39.63,-4.08,31.24,0.768,0.945,0.17,185.87802,0.00336,,14
2019-07-17T16:00:15.000Z,40.5908089,-111.7205522,3162.570,-40.09,-4.82,31.15,0.769,0.946,0.17,186.85573,0.00333,,14
2019-07-17T16:00:15.200Z,40.5907364,-111.7205652,3156.379,-40.49,-6.03,30.93,0.770,0.947,0.17,188.47056,0.00331,,14
2019-07-17T16:00:15.400Z,40.5906629,-111.7205811,3150.287,-41.08,-7.32,30.57,0.774,0.948,0.19,190.10343,0.00367,,15
2019-07-17T16:00:15.600Z,40.5905886,-111.7205998,3144.212,-41.49,-8.38,30.26,0.787,0.956,0.29,191.41877,0.00557,,14
2019-07-17T16:00:15.800Z,40.5905138,-111.7206210,3138.173,-41.74,-9.34,30.18,0.810,0.966,0.31,192.61308,0.00592,,14
2019-07-17T16:00:16.000Z,40.5904384,-111.7206442,3132.156,-42.00,-10.13,30.29,0.830,0.976,0.30,193.56021,0.00569,,13
2019-07-17T16:00:16.200Z,40.5903626,-111.7206685,3126.105,-42.29,-10.27,30.28,0.844,0.988,0.30,193.64987,0.00566,,13
2019-07-17T16:00:16.400Z,40.5902863,-111.7206931,3119.995,-42.43,-10.46,31.12,0.851,0.999,0.29,193.84863,0.00541,,13
2019-07-17T16:00:16.600Z,40.5902095,-111.7207178,3113.782,-42.86,-10.35,31.27,0.858,1.012,0.29,193.57610,0.00536,,13
2019-07-17T16:00:16.800Z,40.5901320,-111.7207419,3107.571,-43.18,-10.08,31.64,0.865,1.024,0.29,193.13989,0.00532,,14
2019-07-17T16:00:17.000Z,40.5900539,-111.7207655,3101.304,-43.52,-9.86,31.73,0.870,1.034,0.27,192.76557,0.00493,,14
2019-07-17T16:00:17.200Z,40.5899750,-111.7207886,3094.988,-43.91,-9.62,32.22,0.873,1.040,0.25,192.35738,0.00452,,14
2019-07-17T16:00:17.400Z,40.5898959,-111.7208116,3088.529,-43.93,-9.67,32.93,0.875,1.046,0.25,192.41414,0.00448,,14
2019-07-17T16:00:17.600Z,40.5898168,-111.7208343,3081.861,-44.04,-9.48,33.56,0.878,1.058,0.28,192.14806,0.00498,,14
2019-07-17T16:00:17.800Z,40.5897372,-111.7208570,3075.117,-44.39,-9.69,34.15,0.883,1.070,0.28,192.31406,0.00493,,14
2019-07-17T16:00:18.000Z,40.5896570,-111.7208804,3068.317,-44.69,-10.01,34.34,0.887,1.079,0.27,192.62515,0.00472,,14
2019-07-17T16:00:18.200Z,40.5895763,-111.7209044,3061.412,-44.97,-10.17,34.59,0.892,1.088,0.27,192.74313,0.00468,,14
2019-07-17T16:00:18.400Z,40.5894952,-111.7209286,3054.490,-45.07,-10.24,35.18,0.897,1.097,0.27,192.80042,0.00465,,14
2019-07-17T16:00:18.600Z,40.5894140,-111.7209532,3047.412,-45.21,-10.45,35.67,0.900,1.106,0.26,193.01498,0.00444,,14
2019-07-17T16:00:18.800Z,40.5893326,-111.7209781,3040.201,-45.30,-10.44,36.38,0.904,1.117,0.28,192.97799,0.00474,,14
2019-07-17T16:00:19.000Z,40.5892511,-111.7210032,3032.869,-45.45,-10.72,36.82,0.908,1.129,0.28,193.27143,0.00471,,14
2019-07-17T16:00:19.200Z,40.5891692,-111.7210291,3025.447,-45.57,-10.98,37.41,0.913,1.141,0.29,193.54708,0.00484,,14
2019-07-17T16:00:19.400Z,40.5890870,-111.7210553,3017.932,-45.92,-11.11,37.68,0.918,1.152,0.27,193.60092,0.00447,,14
2019-07-17T16:00:19.600Z,40.5890043,-111.7210819,3010.374,-46.12,-11.22,37.95,0.923,1.166,0.28,193.67321,0.00461,,14
2019-07-17T16:00:19.800Z,40.5889208,-111.7211090,3002.818,-46.78,-11.49,37.79,0.929,1.182,0.30,193.79969,0.00490,,14
2019-07-17T16:00:20.000Z,40.5888363,-111.7211362,2995.267,-47.21,-11.42,37.79,0.936,1.198,0.30,193.59851,0.00487,,14
2019-07-17T16:00:20.200Z,40.5887510,-111.7211630,2987.727,-47.64,-11.15,37.90,0.943,1.212,0.29,193.17280,0.00469,,14
2019-07-17T16:00:20.400Z,40.5886647,-111.7211891,2980.200,-48.21,-10.86,37.76,0.949,1.229,0.29,192.69481,0.00466,,14
2019-07-17T16:00:20.600Z,40.5885778,-111.7212145,2972.638,-48.62,-10.51,37.68,0.956,1.245,0.28,192.19773,0.00449,,14
2019-07-17T16:00:20.800Z,40.5884900,-111.7212388,2965.121,-49.09,-9.93,37.68,0.963,1.263,0.29,191.43557,0.00463,,14
2019-07-17T16:00:21.000Z,40.5884010,-111.7212618,2957.635,-49.80,-9.39,37.48,0.970,1.280,0.29,190.67799,0.00460,,13
2019-07-17T16:00:21.200Z,40.5883109,-111.7212835,2950.157,-50.44,-8.90,37.31,0.976,1.298,0.30,190.00668,0.00473,,13
2019-07-17T16:00:21.400Z,40.5882198,-111.7213041,2942.746,-51.02,-8.45,36.71,0.983,1.316,0.30,189.40404,0.00473,,13
2019-07-17T16:00:21.600Z,40.5881279,-111.7213238,2935.402,-51.39,-8.00,36.49,0.990,1.334,0.30,188.84835,0.00472,,13
2019-07-17T16:00:21.800Z,40.5880353,-111.7213426,2928.095,-51.70,-7.78,36.48,0.997,1.350,0.29,188.55786,0.00455,,14
2019-07-17T16:00:22.000Z,40.5879418,-111.7213608,2920.899,-52.19,-7.54,35.83,1.004,1.367,0.29,188.22076,0.00455,,14
2019-07-17T16:00:22.200Z,40.5878476,-111.7213785,2913.780,-52.68,-7.28,35.50,1.010,1.382,0.28,187.86803,0.00438,,14
2019-07-17T16:00:22.400Z,40.5877527,-111.7213954,2906.697,-53.08,-6.90,35.33,1.015,1.395,0.26,187.40649,0.00405,,14
2019-07-17T16:00:22.600Z,40.5876569,-111.7214109,2899.699,-53.28,-6.15,35.07,1.021,1.410,0.28,186.58439,0.00437,,14
2019-07-17T16:00:22.800Z,40.5875610,-111.7214249,2892.667,-53.80,-5.54,34.61,1.028,1.426,0.30,185.87925,0.00467,,14
