# vehicle: unknown
# date: 2019-07-17
# pilot_mass_kg: 77.5
# wing_area_m2: 22.761
# segment: speed_page_export
# source: cloudbase_speed_page
# gps_rate_hz: 5
# notes: Exported from CloudBASE speed page - canopy normal data
# enhanced_by: polar-visualizer/gps-beta-enhance
# mode: canopy
# trim_offset_deg: 3
# orientation_source: canopy_normal_vector
t,V,alpha,beta,phi,theta,psi,p,q,r,cnN,cnE,cnD,vN,vE,vD,CL,CD,qbar,rho
0.00,22.94,68.72,3.1874,0.00,50.68,-154.1,-21.92,17.93,17.95,2.0880,1.0140,-1.9010,-19.34,-10.81,5.94,,,258.4,0.9820
0.20,22.76,76.71,-2.2073,0.00,54.27,-148.4,-11.64,7.02,8.38,2.0750,1.2750,-1.7520,-18.73,-10.48,7.57,,,254.3,0.9821
0.40,22.23,80.00,-2.6140,-0.00,53.49,-148.4,3.88,-3.93,-2.87,2.0530,1.2650,-1.7850,-17.87,-9.82,8.86,,,242.6,0.9822
0.60,21.50,83.33,-0.8143,0.00,52.70,-150.4,6.38,-5.12,-4.86,2.0740,1.1800,-1.8180,-16.70,-9.15,9.97,,,227.0,0.9824
0.80,20.51,86.14,0.4719,0.00,51.44,-151.6,-1.29,-6.52,1.03,2.0630,1.1170,-1.8700,-15.27,-8.46,10.78,,,206.7,0.9826
1.00,19.34,88.93,-1.0509,0.00,50.09,-149.7,-9.75,-5.46,8.15,1.9870,1.1610,-1.9250,-13.71,-7.60,11.32,,,183.8,0.9829
1.20,17.91,92.62,-3.5979,0.00,49.26,-146.5,-13.44,-5.78,11.57,1.8950,1.2550,-1.9580,-11.97,-6.58,11.57,,,157.6,0.9831
1.40,16.29,96.54,-6.7572,0.00,47.78,-142.6,-14.69,-10.36,13.33,1.7650,1.3490,-2.0160,-10.13,-5.33,11.59,,,130.4,0.9833
1.60,14.69,100.56,-10.0755,-0.00,45.11,-138.5,-13.59,-14.70,13.53,1.5930,1.4070,-2.1170,-8.31,-3.91,11.47,,,106.2,0.9835
1.80,13.15,104.88,-13.5563,0.00,41.90,-134.9,-11.84,-13.97,13.20,1.4150,1.4180,-2.2330,-6.70,-2.35,11.07,,,85.1,0.9837
2.00,11.84,110.62,-16.6945,0.00,39.53,-131.5,-12.57,-8.79,15.24,1.2640,1.4310,-2.3140,-5.35,-0.92,10.52,,,69.0,0.9839
2.20,10.58,120.24,-19.4234,0.00,38.38,-127.0,-19.39,-7.59,24.48,1.1220,1.4870,-2.3520,-3.97,0.58,9.79,,,55.1,0.9841
2.40,9.93,132.70,-20.4919,0.00,36.49,-119.0,-34.52,-13.96,46.67,0.8640,1.5610,-2.4120,-2.79,2.14,9.29,,,48.6,0.9843
2.60,10.19,142.94,-16.8945,0.00,32.79,-103.8,-49.56,-19.70,76.92,0.3880,1.5780,-2.5220,-2.19,3.50,9.32,,,51.1,0.9845
2.80,10.57,149.03,-8.6169,0.00,28.61,-82.4,-53.20,-18.33,97.52,-0.1910,1.4240,-2.6340,-2.21,4.56,9.28,,,55.0,0.9847
3.00,10.99,151.94,2.8006,0.00,25.46,-59.4,-49.36,-10.08,103.68,-0.6570,1.1100,-2.7090,-2.62,5.48,9.15,,,59.4,0.9849
3.20,11.36,152.58,15.9295,0.00,24.58,-36.4,-46.13,1.79,100.84,-1.0040,0.7410,-2.7280,-3.19,6.23,8.95,,,63.6,0.9850
3.40,11.68,151.29,26.6640,0.00,26.18,-15.0,-39.52,10.71,80.40,-1.2780,0.3430,-2.6920,-4.00,6.50,8.84,,,67.2,0.9852
3.60,11.97,152.53,32.5331,0.00,28.86,-0.6,-25.18,8.16,45.67,-1.4480,0.0150,-2.6270,-5.08,6.49,8.68,,,70.5,0.9854
3.80,12.32,155.58,34.1298,0.00,29.44,5.8,-14.65,-3.70,25.95,-1.4670,-0.1500,-2.6130,-6.25,6.31,8.54,,,74.8,0.9855
4.00,12.65,156.47,35.6680,-0.00,27.38,11.3,-15.65,-12.08,30.22,-1.3530,-0.2710,-2.6640,-7.38,6.04,8.30,,,78.8,0.9857
4.20,12.93,153.93,39.4697,-0.00,24.61,19.5,-21.54,-11.01,47.04,-1.1780,-0.4160,-2.7280,-8.31,5.78,8.04,,,82.4,0.9858
4.40,12.99,148.02,45.7000,0.00,22.98,32.0,-23.16,-4.70,54.62,-0.9930,-0.6210,-2.7620,-9.01,5.33,7.69,,,83.2,0.9860
4.60,12.98,143.52,50.5142,-0.00,22.72,43.2,-16.75,-2.43,40.00,-0.8450,-0.7930,-2.7670,-9.66,4.67,7.30,,,83.1,0.9861
4.80,12.87,143.52,52.3525,-0.00,22.01,49.4,-9.44,-7.90,23.35,-0.7320,-0.8530,-2.7810,-10.18,3.79,6.91,,,81.7,0.9863
5.00,12.79,144.14,53.8975,0.00,19.56,53.3,-6.66,-14.14,18.75,-0.6010,-0.8050,-2.8270,-10.64,3.02,6.42,,,80.7,0.9864
5.20,12.69,143.48,56.1475,0.00,16.35,57.3,-9.52,-14.17,32.44,-0.4560,-0.7110,-2.8790,-11.01,2.35,5.85,,,79.5,0.9866
5.40,12.50,134.64,61.5946,0.00,13.89,66.8,-12.56,-9.91,50.79,-0.2840,-0.6620,-2.9120,-11.19,1.79,5.26,,,77.1,0.9866
5.60,12.22,118.43,66.9120,0.00,12.39,78.3,-10.87,-5.81,49.49,-0.1310,-0.6300,-2.9300,-11.23,1.23,4.67,,,73.7,0.9868
5.80,11.90,103.12,69.3199,-0.00,11.57,87.0,-7.44,-5.05,36.31,-0.0310,-0.6010,-2.9390,-11.11,0.68,4.20,,,69.8,0.9869
6.00,11.62,91.16,70.5029,-0.00,10.37,93.1,-5.02,-8.11,27.44,0.0290,-0.5390,-2.9510,-10.98,0.23,3.79,,,66.7,0.9870
