# vehicle: unknown
# date: 2019-07-17
# pilot_mass_kg: 77.5
# wing_area_m2: 22.761
# segment: speed_page_export
# source: cloudbase_speed_page
# gps_rate_hz: 5
# notes: Exported from CloudBASE speed page - canopy normal data
t,V,vN,vE,vD,cnN,cnE,cnD,qbar,rho
0.0,22.94,-19.34,-10.81,5.94,2.088,1.014,-1.901,258.4,0.9820
0.2,22.76,-18.73,-10.48,7.57,2.075,1.275,-1.752,254.3,0.9821
0.4,22.23,-17.87,-9.82,8.86,2.053,1.265,-1.785,242.6,0.9822
0.6,21.50,-16.70,-9.15,9.97,2.074,1.180,-1.818,227.0,0.9824
0.8,20.51,-15.27,-8.46,10.78,2.063,1.117,-1.870,206.7,0.9826
1.0,19.34,-13.71,-7.60,11.32,1.987,1.161,-1.925,183.8,0.9829
1.2,17.91,-11.97,-6.58,11.57,1.895,1.255,-1.958,157.6,0.9831
1.4,16.29,-10.13,-5.33,11.59,1.765,1.349,-2.016,130.4,0.9833
1.6,14.69,-8.31,-3.91,11.47,1.593,1.407,-2.117,106.2,0.9835
1.8,13.15,-6.70,-2.35,11.07,1.415,1.418,-2.233,85.1,0.9837
2.0,11.84,-5.35,-0.92,10.52,1.264,1.431,-2.314,69.0,0.9839
2.2,10.58,-3.97,0.58,9.79,1.122,1.487,-2.352,55.1,0.9841
2.4,9.93,-2.79,2.14,9.29,0.864,1.561,-2.412,48.6,0.9843
2.6,10.19,-2.19,3.50,9.32,0.388,1.578,-2.522,51.1,0.9845
2.8,10.57,-2.21,4.56,9.28,-0.191,1.424,-2.634,55.0,0.9847
3.0,10.99,-2.62,5.48,9.15,-0.657,1.110,-2.709,59.4,0.9849
3.2,11.36,-3.19,6.23,8.95,-1.004,0.741,-2.728,63.6,0.9850
3.4,11.68,-4.00,6.50,8.84,-1.278,0.343,-2.692,67.2,0.9852
3.6,11.97,-5.08,6.49,8.68,-1.448,0.015,-2.627,70.5,0.9854
3.8,12.32,-6.25,6.31,8.54,-1.467,-0.150,-2.613,74.8,0.9855
4.0,12.65,-7.38,6.04,8.30,-1.353,-0.271,-2.664,78.8,0.9857
4.2,12.93,-8.31,5.78,8.04,-1.178,-0.416,-2.728,82.4,0.9858
4.4,12.99,-9.01,5.33,7.69,-0.993,-0.621,-2.762,83.2,0.9860
4.6,12.98,-9.66,4.67,7.30,-0.845,-0.793,-2.767,83.1,0.9861
4.8,12.87,-10.18,3.79,6.91,-0.732,-0.853,-2.781,81.7,0.9863
5.0,12.79,-10.64,3.02,6.42,-0.601,-0.805,-2.827,80.7,0.9864
5.2,12.69,-11.01,2.35,5.85,-0.456,-0.711,-2.879,79.5,0.9866
5.4,12.50,-11.19,1.79,5.26,-0.284,-0.662,-2.912,77.1,0.9866
5.6,12.22,-11.23,1.23,4.67,-0.131,-0.630,-2.930,73.7,0.9868
5.8,11.90,-11.11,0.68,4.20,-0.031,-0.601,-2.939,69.8,0.9869
6.0,11.62,-10.98,0.23,3.79,0.029,-0.539,-2.951,66.7,0.9870
6.2,11.39,-10.85,-0.17,3.47,0.062,-0.430,-2.968,64.0,0.9870
6.4,11.17,-10.68,-0.45,3.24,0.119,-0.300,-2.983,61.6,0.9871
6.6,10.94,-10.49,-0.57,3.08,0.221,-0.140,-2.989,59.1,0.9871
6.8,10.65,-10.21,-0.62,2.96,0.320,-0.026,-2.983,55.9,0.9872
7.0,10.23,-9.80,-0.54,2.89,0.354,0.020,-2.979,51.7,0.9873
7.2,9.87,-9.44,-0.52,2.84,0.296,0.041,-2.985,48.1,0.9874
7.4,9.72,-9.25,-0.53,2.95,0.154,0.085,-2.995,46.7,0.9874
7.6,9.63,-9.12,-0.47,3.05,0.037,0.202,-2.993,45.8,0.9875
7.8,9.63,-9.09,-0.28,3.17,-0.007,0.327,-2.982,45.8,0.9875
8.0,9.61,-9.02,-0.01,3.30,-0.019,0.395,-2.974,45.6,0.9876
8.2,9.57,-8.93,0.25,3.44,-0.021,0.396,-2.974,45.3,0.9877
8.4,9.57,-8.87,0.47,3.57,-0.057,0.327,-2.982,45.3,0.9878
8.6,9.62,-8.84,0.66,3.74,-0.109,0.222,-2.990,45.7,0.9878
8.8,9.70,-8.86,0.74,3.89,-0.151,0.123,-2.994,46.5,0.9879
9.0,9.79,-8.88,0.74,4.05,-0.184,0.051,-2.994,47.3,0.9880
9.2,9.87,-8.91,0.76,4.16,-0.208,0.032,-2.993,48.1,0.9881
9.4,9.96,-8.98,0.77,4.24,-0.236,0.040,-2.990,49.0,0.9882
9.6,10.05,-9.05,0.79,4.29,-0.256,0.064,-2.988,49.9,0.9882
9.8,10.15,-9.14,0.82,4.32,-0.254,0.075,-2.988,50.9,0.9883
10.0,10.23,-9.23,0.90,4.32,-0.243,0.090,-2.989,51.8,0.9884
10.2,10.27,-9.28,0.92,4.29,-0.214,0.120,-2.990,52.1,0.9885
10.4,10.31,-9.35,0.99,4.23,-0.187,0.158,-2.990,52.5,0.9886
10.6,10.31,-9.36,1.13,4.16,-0.171,0.199,-2.989,52.5,0.9887
10.8,10.32,-9.38,1.27,4.09,-0.158,0.210,-2.988,52.6,0.9888
11.0,10.33,-9.41,1.39,4.03,-0.155,0.198,-2.989,52.7,0.9889
11.2,10.34,-9.42,1.50,3.99,-0.150,0.158,-2.992,52.8,0.9889
11.4,10.35,-9.42,1.61,3.96,-0.129,0.110,-2.995,52.9,0.9890
11.6,10.34,-9.43,1.61,3.92,-0.078,0.061,-2.998,52.9,0.9891
11.8,10.26,-9.39,1.62,3.82,-0.026,0.022,-3.000,52.1,0.9892
12.0,10.12,-9.26,1.62,3.74,0.013,0.008,-3.000,50.6,0.9893
12.2,10.01,-9.17,1.60,3.68,0.035,-0.013,-3.000,49.5,0.9893
12.4,9.92,-9.08,1.57,3.67,0.043,-0.036,-2.999,48.7,0.9894
12.6,9.79,-8.95,1.53,3.67,0.046,-0.042,-2.999,47.5,0.9895
12.8,9.66,-8.83,1.47,3.65,0.026,-0.022,-3.000,46.2,0.9896
13.0,9.56,-8.75,1.45,3.56,-0.007,0.018,-3.000,45.2,0.9896
13.2,9.55,-8.71,1.48,3.61,-0.046,0.041,-2.999,45.1,0.9897
13.4,9.52,-8.65,1.52,3.66,-0.066,0.050,-2.999,44.9,0.9898
13.6,9.55,-8.65,1.50,3.76,-0.106,0.024,-2.998,45.2,0.9899
13.8,9.57,-8.62,1.53,3.85,-0.170,0.011,-2.995,45.3,0.9899
14.0,9.60,-8.69,1.48,3.80,-0.235,0.007,-2.991,45.6,0.9900
14.2,9.69,-8.81,1.50,3.74,-0.287,0.007,-2.986,46.4,0.9901
14.4,9.79,-8.95,1.48,3.68,-0.296,0.030,-2.985,47.4,0.9902
14.6,9.87,-9.07,1.49,3.61,-0.303,0.043,-2.984,48.3,0.9903
14.8,9.96,-9.15,1.52,3.63,-0.302,0.061,-2.984,49.1,0.9903
15.0,10.11,-9.30,1.55,3.65,-0.287,0.067,-2.985,50.6,0.9904
15.2,10.22,-9.40,1.58,3.69,-0.260,0.064,-2.988,51.7,0.9904
15.4,10.26,-9.44,1.61,3.68,-0.212,0.085,-2.991,52.1,0.9905
15.6,10.30,-9.48,1.63,3.67,-0.163,0.113,-2.993,52.5,0.9906
15.8,10.32,-9.51,1.72,3.62,-0.100,0.150,-2.995,52.8,0.9907
16.0,10.32,-9.45,1.81,3.71,0.000,0.189,-2.994,52.7,0.9908
16.2,10.21,-9.34,1.92,3.67,0.108,0.222,-2.990,51.7,0.9908
16.4,10.04,-9.13,2.06,3.63,0.166,0.255,-2.985,49.9,0.9909
16.6,9.81,-8.89,2.24,3.49,0.212,0.325,-2.975,47.7,0.9910
16.8,9.61,-8.70,2.42,3.29,0.240,0.427,-2.960,45.8,0.9911
17.0,9.43,-8.43,2.76,3.21,0.268,0.566,-2.934,44.1,0.9911
17.2,9.32,-8.16,3.17,3.21,0.320,0.728,-2.893,43.1,0.9912
17.4,9.31,-7.90,3.66,3.30,0.361,0.875,-2.847,43.0,0.9913
17.6,9.34,-7.58,4.22,3.46,0.420,1.024,-2.788,43.2,0.9913
17.8,9.48,-7.24,4.86,3.71,0.480,1.155,-2.727,44.5,0.9914
18.0,9.72,-6.87,5.56,4.04,0.522,1.259,-2.673,46.8,0.9915
18.2,10.06,-6.50,6.27,4.43,0.548,1.310,-2.643,50.1,0.9915
18.4,10.47,-6.11,6.99,4.84,0.564,1.323,-2.633,54.4,0.9916
18.6,10.91,-5.73,7.68,5.23,0.567,1.295,-2.646,59.1,0.9917
18.8,11.38,-5.32,8.38,5.56,0.559,1.244,-2.672,64.2,0.9919
19.0,11.81,-4.93,9.03,5.79,0.535,1.169,-2.711,69.2,0.9920
19.2,12.23,-4.54,9.67,5.96,0.505,1.065,-2.759,74.2,0.9921
19.4,12.58,-4.18,10.23,6.00,0.498,0.951,-2.801,78.5,0.9922
19.6,12.83,-3.80,10.73,5.92,0.507,0.827,-2.839,81.7,0.9923
19.8,13.00,-3.37,11.16,5.75,0.541,0.714,-2.863,83.9,0.9924
