# vehicle: unknown
# date: 2019-07-17
# pilot_mass_kg: 77.5
# wing_area_m2: 2
# segment: speed_page_export
# source: cloudbase_speed_page
# gps_rate_hz: 5
# notes: Exported from CloudBASE speed page with wind correction
# enhanced_by: polar-visualizer/gps-beta-enhance
# mode: wingsuit
# polar: a5segments
# beta_source: lateral_force_equilibrium
t,V,alpha,beta,gamma,phi,theta,theta_corr,psi,psi_corr,p,q,r,p_corr,q_corr,r_corr,CL,CD,qbar,rho
0.00,24.94,21.74,-8.6613,-68.74,9.17,-47.28,-45.90,172.5,160.2,1.71,4.37,2.67,8.18,4.21,9.21,0.928462,0.374483,272.5,0.8761
0.20,26.23,21.08,-7.4515,-67.33,8.79,-46.50,-45.36,173.5,163.0,1.07,3.33,2.77,6.67,3.07,8.54,0.910283,0.361425,301.6,0.8765
0.40,27.44,19.98,-6.4888,-65.91,8.23,-46.13,-45.21,174.4,165.3,-0.05,2.83,2.40,4.84,2.52,7.45,0.878043,0.341587,330.2,0.8770
0.60,28.62,19.06,-5.5071,-64.41,7.61,-45.52,-44.79,175.1,167.4,-1.40,2.92,1.76,3.40,2.61,6.74,0.838408,0.321673,359.4,0.8774
0.80,29.79,18.14,-4.5636,-63.08,6.80,-45.07,-44.53,175.6,169.2,-2.17,1.62,1.42,1.78,1.30,5.54,0.793868,0.300127,389.7,0.8779
1.00,30.91,16.91,-3.8863,-61.76,6.10,-44.94,-44.53,176.0,170.6,-2.19,1.36,1.15,1.22,1.13,4.68,0.748906,0.280300,419.7,0.8784
1.20,32.02,15.99,-3.2201,-60.50,5.41,-44.58,-44.28,176.4,171.9,-1.96,1.66,0.96,0.85,1.50,3.88,0.709991,0.261956,450.5,0.8789
1.40,33.11,15.07,-2.7298,-59.33,4.88,-44.31,-44.08,176.6,172.8,-1.76,1.85,0.80,0.55,1.75,3.22,0.674977,0.245343,482.1,0.8794
1.60,34.18,14.38,-2.2529,-58.20,4.33,-43.87,-43.69,176.9,173.8,-1.70,2.93,0.69,0.49,2.85,3.00,0.647626,0.232990,514.0,0.8800
1.80,35.21,13.93,-1.8401,-57.06,3.85,-43.17,-43.04,177.1,174.6,-1.53,3.55,0.55,0.24,3.47,2.46,0.627202,0.223883,545.9,0.8805
2.00,36.21,13.48,-1.5052,-55.92,3.42,-42.47,-42.37,177.3,175.3,-1.40,3.49,0.45,0.11,3.45,2.11,0.609324,0.217104,577.7,0.8810
2.20,37.17,13.03,-1.2401,-54.79,3.05,-41.78,-41.71,177.5,175.8,-0.81,3.43,0.49,0.27,3.40,1.70,0.591724,0.210179,609.1,0.8816
2.40,38.09,12.58,-1.0779,-53.67,2.86,-41.11,-41.05,177.7,176.3,-0.08,3.35,0.52,0.61,3.33,1.31,0.575199,0.202604,639.9,0.8821
2.60,38.99,12.13,-0.9736,-52.57,2.78,-40.46,-40.41,177.9,176.6,0.85,3.80,0.62,1.16,3.81,0.97,0.559735,0.194528,670.8,0.8827
2.80,39.86,11.91,-0.9412,-51.49,2.93,-39.60,-39.55,178.1,176.9,1.61,3.76,0.74,1.75,3.78,0.93,0.546514,0.188290,701.8,0.8833
3.00,40.71,11.46,-0.9325,-50.41,3.11,-38.97,-38.92,178.4,177.2,1.71,3.80,0.83,1.77,3.81,0.90,0.535947,0.184047,732.3,0.8838
3.20,41.49,11.23,-0.9058,-49.31,3.28,-38.10,-38.05,178.6,177.5,1.59,4.41,0.82,1.69,4.43,0.95,0.527230,0.180177,761.4,0.8844
3.40,42.25,11.01,-0.8673,-48.21,3.41,-37.23,-37.17,178.9,177.8,1.48,4.39,0.79,1.76,4.40,1.17,0.518256,0.177201,790.0,0.8850
3.60,42.99,10.78,-0.8335,-47.13,3.55,-36.36,-36.32,179.2,178.2,2.09,4.62,0.90,2.20,4.62,1.04,0.510443,0.175456,818.3,0.8856
3.80,43.66,10.67,-0.8394,-46.05,3.90,-35.40,-35.35,179.5,178.5,2.94,4.97,1.04,2.84,5.01,0.88,0.505648,0.175539,844.6,0.8861
4.00,44.28,10.56,-0.8554,-44.94,4.34,-34.41,-34.35,179.8,178.8,3.44,5.42,1.21,3.45,5.47,1.24,0.503608,0.175233,869.1,0.8867
4.20,44.85,10.56,-0.8622,-43.80,4.83,-33.28,-33.20,180.3,179.3,3.81,5.25,1.37,3.82,5.30,1.42,0.501146,0.173406,892.4,0.8873
4.40,45.40,10.33,-0.8858,-42.65,5.38,-32.36,-32.28,180.7,179.7,4.14,3.95,1.50,4.06,4.02,1.38,0.493405,0.169614,914.8,0.8879
4.60,45.90,9.83,-0.9383,-41.53,6.01,-31.76,-31.66,181.2,180.1,4.96,2.49,1.73,4.71,2.55,1.29,0.477561,0.164109,935.8,0.8884
4.80,46.39,9.14,-1.0436,-40.52,6.88,-31.44,-31.32,181.6,180.4,6.03,0.72,1.99,5.55,0.76,1.19,0.452086,0.156708,956.5,0.8890
5.00,46.88,8.20,-1.2074,-39.70,7.92,-31.57,-31.41,182.1,180.7,7.17,-1.06,2.28,6.58,-0.93,1.30,0.419592,0.147394,977.6,0.8895
5.20,47.39,7.18,-1.4371,-39.08,9.23,-31.99,-31.76,182.6,180.9,9.37,-2.21,2.60,8.57,-1.97,1.26,0.384810,0.138540,999.5,0.8901
5.40,47.93,6.15,-1.7806,-38.65,11.12,-32.61,-32.27,183.2,181.1,12.85,-2.17,3.00,11.65,-1.81,1.04,0.354263,0.131641,1022.9,0.8906
5.60,48.46,5.47,-2.2128,-38.39,13.72,-33.07,-32.55,183.8,181.2,16.49,-1.12,3.56,15.08,-0.56,1.23,0.333107,0.127429,1046.6,0.8912
5.80,48.99,5.04,-2.6960,-38.21,16.88,-33.38,-32.60,184.7,181.6,19.01,0.65,4.12,17.77,1.43,2.02,0.322487,0.125692,1070.1,0.8917
6.00,49.51,5.04,-3.0989,-38.04,20.23,-33.31,-32.24,185.8,182.4,18.46,2.70,4.40,17.63,3.52,2.94,0.321684,0.125239,1093.6,0.8923
6.20,50.01,5.30,-3.3111,-37.86,22.93,-32.98,-31.69,187.1,183.5,14.94,4.10,4.57,14.71,4.83,4.17,0.328641,0.127027,1116.4,0.8928
6.40,50.48,5.64,-3.3437,-37.63,24.70,-32.51,-31.11,188.6,185.1,10.00,5.09,4.47,10.10,5.49,4.82,0.338563,0.129348,1138.2,0.8934
6.60,50.88,5.98,-3.2124,-37.28,25.36,-31.88,-30.50,190.0,186.6,3.96,5.08,4.08,4.26,5.11,4.96,0.348667,0.130509,1157.3,0.8940
6.80,51.28,6.07,-3.0020,-36.88,24.83,-31.37,-30.11,191.3,188.2,-1.67,4.08,3.68,-1.18,3.93,4.96,0.352350,0.129214,1176.0,0.8946
7.00,51.66,5.90,-2.7630,-36.42,23.46,-31.01,-29.91,192.4,189.5,-7.18,2.69,3.10,-6.58,2.32,4.63,0.347410,0.126290,1194.4,0.8951
7.20,52.05,5.47,-2.4724,-35.99,21.01,-30.88,-30.00,193.2,190.5,-12.90,0.83,2.44,-12.24,0.21,4.02,0.334846,0.123004,1213.4,0.8957
7.40,52.41,4.76,-2.1342,-35.59,17.68,-31.05,-30.41,193.6,191.2,-18.09,-0.69,1.69,-17.19,-1.38,3.54,0.315179,0.119431,1231.1,0.8962
7.60,52.79,4.03,-1.6709,-35.26,13.44,-31.35,-30.95,193.8,191.9,-23.61,-2.28,0.91,-22.13,-2.90,3.59,0.290402,0.116010,1249.7,0.8968
7.80,53.18,3.09,-1.0659,-35.08,8.15,-32.03,-31.87,193.8,192.6,-27.85,-3.82,0.14,-25.88,-4.33,3.41,0.262247,0.112019,1269.1,0.8974
