# vehicle: unknown
# date: 2019-07-17
# pilot_mass_kg: 77.5
# wing_area_m2: 2
# segment: speed_page_export
# source: cloudbase_speed_page
# gps_rate_hz: 5
# notes: Exported from CloudBASE speed page with wind correction
t,V,alpha,gamma,phi,theta,psi,p,q,r,CL,CD,qbar,rho
0.0,24.94,21.74,-68.74,9.17,-47.28,172.5,1.71,4.37,2.67,0.9284623091658447,0.37448257777715577,272.5,0.8761
0.2,26.23,21.08,-67.33,8.79,-46.50,173.5,1.07,3.33,2.77,0.910282928815036,0.3614246035207735,301.6,0.8765
0.4,27.44,19.98,-65.91,8.23,-46.13,174.4,-0.05,2.83,2.40,0.8780430788618833,0.3415870529955015,330.2,0.8770
0.6,28.62,19.06,-64.41,7.61,-45.52,175.1,-1.40,2.92,1.76,0.8384080909504732,0.32167314379058204,359.4,0.8774
0.8,29.79,18.14,-63.08,6.80,-45.07,175.6,-2.17,1.62,1.42,0.7938684682124597,0.3001265712020266,389.7,0.8779
1.0,30.91,16.91,-61.76,6.10,-44.94,176.0,-2.19,1.36,1.15,0.7489055721938199,0.2802997993570453,419.7,0.8784
1.2,32.02,15.99,-60.50,5.41,-44.58,176.4,-1.96,1.66,0.96,0.7099912469708873,0.26195564852773773,450.5,0.8789
1.4,33.11,15.07,-59.33,4.88,-44.31,176.6,-1.76,1.85,0.80,0.6749770217426069,0.2453427868504735,482.1,0.8794
1.6,34.18,14.38,-58.20,4.33,-43.87,176.9,-1.70,2.93,0.69,0.6476257769387507,0.23298979773314976,514.0,0.8800
1.8,35.21,13.93,-57.06,3.85,-43.17,177.1,-1.53,3.55,0.55,0.6272024532433093,0.2238833193584312,545.9,0.8805
2.0,36.21,13.48,-55.92,3.42,-42.47,177.3,-1.40,3.49,0.45,0.609324407373196,0.21710438012112188,577.7,0.8810
2.2,37.17,13.03,-54.79,3.05,-41.78,177.5,-0.81,3.43,0.49,0.5917235652723347,0.21017897762120266,609.1,0.8816
2.4,38.09,12.58,-53.67,2.86,-41.11,177.7,-0.08,3.35,0.52,0.5751988389405049,0.20260408428657986,639.9,0.8821
