$FLYS,1
$VAR,FIRMWARE_VER,v2026.03.06.develop
$VAR,DEVICE_ID,0017003b3253501720373657
$VAR,SESSION_ID,8fdadd9cef07a0e5905ce019
$COL,EVNT,time,description
$UNIT,EVNT,s,
$DATA
$EVNT,0.284897,"8/20 timers used before active mode initialization"
$EVNT,0.285285,"----------"
$EVNT,948.631371,"----------"
$EVNT,948.631650,"996/2048 slots used in GNSS buffer"
$EVNT,948.632020,"0 ms average time spent in GNSS update task"
$EVNT,948.632388,"3 ms maximum time spent in GNSS update task"
$EVNT,948.632754,"80 ms maximum time between calls to GNSS update task"
$EVNT,948.635079,"----------"
$EVNT,948.635361,"1047/2048 slots used in audio buffer"
$EVNT,948.635735,"0 ms average time spent in audio update task"
$EVNT,948.636103,"1 ms maximum time spent in audio update task"
$EVNT,948.636473,"78 ms maximum time between calls to audio update task"
$EVNT,948.636860,"----------"
$EVNT,948.637147,"7/20 timers used after active mode de-initialization"
$EVNT,948.637621,"----------"
$EVNT,948.637901,"1/30 slots used in $BARO message buffer"
$EVNT,948.639589,"1/3 slots used in $HUM message buffer"
$EVNT,948.639963,"1/15 slots used in $MAG message buffer"
$EVNT,948.640341,"3/6 slots used in $GNSS message buffer"
$EVNT,948.640718,"1/2 slots used in $TIME message buffer"
$EVNT,948.641094,"3/5 slots used in $RAW message buffer"
$EVNT,948.641469,"2/667 slots used in $IMU message buffer"
$EVNT,948.641848,"1/2 slots used in $VBAT message buffer"
$EVNT,948.642224,"0/2 slots used in $EVNT message buffer"
$EVNT,948.642602,"----------"
$EVNT,948.644172,"1 ms average time spent in log update task"
$EVNT,948.644538,"48 ms maximum time spent in log update task"
$EVNT,948.644904,"52 ms maximum time between calls to log update task"
$EVNT,948.645288,"----------"
$EVNT,948.645568,"4 ms average time spent in log sync task"
$EVNT,948.645928,"47 ms maximum time spent in log sync task"
$EVNT,948.646292,"287 ms maximum time between calls to log sync task"
