# FlySight Sensor Fusion Export
# Generated: 2026-03-29T02:31:35.740Z
# Algorithm: fusion
# Source file: SENSOR.CSV
# Frames: 12629
# GPS data: 18879 points
#
# COORDINATE SYSTEMS:
#   Earth Frame (NWU): X=North, Y=West, Z=Up (right-handed)
#   Body Frame: Sensor-fixed frame, orientation depends on mounting
#   GPS columns use NWU frame, position relative to first GPS fix
#   GPS values interpolated to sensor timestamps (NaN = outside GPS coverage)
#
# COLUMN DESCRIPTIONS:
#   timestamp: Time since data start
#   r00-r22: Rotation matrix (body-to-earth transform, row-major)
#            To rotate vector v from body to earth: v_earth = R * v_body
#   roll/pitch/yaw: Euler angles (earth frame)
#   accel_body_*: Raw accelerometer reading (body frame)
#   accel_earth_*: Raw accelerometer rotated to earth frame
#   earth_accel_*: Acceleration in earth frame with gravity removed
#   gravity_body_*: Estimated gravity vector in body frame
#   linear_accel_*: Linear acceleration in body frame (gravity removed)
#   gyro_*: Angular velocity (body frame)
#   q*: Orientation quaternion (body-to-earth, scalar-first: w,x,y,z)
#   gps_lat/gps_lon/gps_hMSL: GPS position (WGS84)
#   gps_pos_north/west/up: Local position (meters from origin, NWU)
#   gps_vel_north/west/up: GPS velocity (m/s, NWU)
#   gps_svel_north/west/up: Smoothed GPS velocity (m/s, NWU, SG filtered)
#   gps_accel_north/west/up: GPS-derived acceleration (m/s², NWU)
#   gps_hspeed: Horizontal speed (m/s)
#   gps_numSV: Number of satellites
#
timestamp,r00,r01,r02,r10,r11,r12,r20,r21,r22,roll,pitch,yaw,accel_body_x,accel_body_y,accel_body_z,accel_earth_x,accel_earth_y,accel_earth_z,earth_accel_x,earth_accel_y,earth_accel_z,gravity_body_x,gravity_body_y,gravity_body_z,linear_accel_x,linear_accel_y,linear_accel_z,gyro_x,gyro_y,gyro_z,qw,qx,qy,qz,gps_lat,gps_lon,gps_hMSL,gps_pos_north,gps_pos_west,gps_pos_up,gps_vel_north,gps_vel_west,gps_vel_up,gps_svel_north,gps_svel_west,gps_svel_up,gps_accel_north,gps_accel_west,gps_accel_up,gps_hspeed,gps_numSV
s,-,-,-,-,-,-,-,-,-,deg,deg,deg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,deg/s,deg/s,deg/s,-,-,-,-,deg,deg,m,m,m,m,m/s,m/s,m/s,m/s,m/s,m/s,m/s2,m/s2,m/s2,m/s,-
0.818775,-0.125568,0.174666,-0.976588,-0.056600,0.981515,0.182824,0.990469,0.078232,-0.113361,145.3898,-82.0832,-155.7363,0.058590,-0.089840,0.937500,-0.938600,0.079902,-0.055273,-0.000026,-0.000101,-0.098921,0.078232,-0.113361,0.990469,-0.007842,0.011221,-0.097969,-0.7930,-2.1360,-6.3470,0.660035,-0.039616,-0.745058,-0.087596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.893826,-0.149169,0.126683,-0.980663,-0.112550,0.983138,0.144123,0.982385,0.131872,-0.132396,135.1135,-79.2300,-142.9650,0.128900,-0.107910,1.007810,-1.021220,0.024650,-0.021031,-0.007912,0.012638,-0.019680,0.131872,-0.132396,0.982385,0.008828,0.012186,-0.019575,-10.0700,-2.9900,-18.2490,0.652222,-0.004696,-0.752447,-0.091699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.968877,-0.259478,0.206924,-0.943321,-0.029400,0.974631,0.221879,0.965301,0.085306,-0.246812,160.9333,-74.8624,-173.5358,0.049800,-0.247070,0.980950,-0.989397,-0.024614,-0.215115,0.014557,-0.025028,-0.027256,0.085306,-0.246812,0.965301,-0.023706,-0.012558,-0.029351,-14.7700,3.8450,-11.9010,0.605876,-0.056353,-0.787547,-0.097513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.043928,-0.205548,0.132866,-0.969586,-0.016816,0.990115,0.139245,0.978503,0.044926,-0.201282,167.4180,-78.0982,-175.3231,0.015620,-0.151360,0.996090,-0.989116,-0.011426,-0.192011,-0.033169,-0.011633,-0.035182,0.044926,-0.201282,0.978503,-0.017506,0.037622,-0.027413,-7.5680,1.4640,1.6470,0.629143,-0.037479,-0.774104,-0.059479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.118981,-0.236723,0.042276,-0.970657,-0.039154,0.997826,0.053008,0.970788,0.050553,-0.234554,167.8371,-76.1170,-170.6083,0.036620,-0.210440,0.964350,-0.953618,-0.160298,-0.201280,0.000619,0.000511,-0.052814,0.050553,-0.234554,0.970788,-0.002133,0.011814,-0.051438,-7.7510,-3.2950,3.7230,0.617768,-0.000993,-0.785669,-0.032953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.194031,-0.220623,-0.011725,-0.975289,-0.117581,0.992955,0.014661,0.968246,0.117910,-0.220447,151.8591,-75.5225,-151.9445,0.112300,-0.189940,0.981440,-0.979736,-0.187418,-0.130017,-0.010813,0.010153,-0.034080,0.117910,-0.220447,0.968246,0.006190,0.018207,-0.031806,-0.6100,-13.0610,2.9290,0.622873,0.041441,-0.780068,-0.042487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.269082,-0.186120,0.011723,-0.982457,-0.127538,0.991181,0.035988,0.974214,0.131999,-0.182983,144.1943,-76.9604,-145.5791,0.101070,-0.135250,0.972160,-0.975502,-0.111961,-0.097278,-0.026278,-0.011684,-0.054850,0.131999,-0.182983,0.974214,-0.019129,0.035433,-0.047054,-2.6850,-12.0840,5.4930,0.636804,0.037693,-0.768161,-0.054672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.344133,-0.261414,0.027316,-0.964840,-0.215892,0.972620,0.086030,0.940773,0.230791,-0.248359,137.0998,-70.1817,-140.4479,0.269040,-0.272460,0.975580,-1.019052,-0.239154,-0.052070,0.039153,0.047747,0.011002,0.230791,-0.248359,0.940773,0.050049,-0.036401,-0.010193,-3.2950,-6.1030,4.5160,0.604741,0.059844,-0.787780,-0.100542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.419184,-0.243471,0.164705,-0.955821,-0.077543,0.979016,0.188454,0.966803,0.120001,-0.225591,151.9897,-75.1955,-162.3338,0.075190,-0.174310,0.987790,-0.991167,0.009671,-0.171060,-0.036849,-0.023110,-0.035971,0.120001,-0.225591,0.966803,-0.033011,0.038981,-0.024013,-0.3660,16.2960,9.4600,0.614401,-0.027854,-0.782317,-0.098571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
