# FlySight Sensor Fusion Export
# Generated: 2026-03-31T07:34:00.515Z
# Algorithm: fusion
# Source file: SENSOR.CSV
# Frames: 12629
# GPS data: 18879 points
#
# COORDINATE SYSTEMS:
#   Earth Frame (NWU): X=North, Y=West, Z=Up (right-handed)
#   Body Frame: Sensor-fixed frame, orientation depends on mounting
#   GPS columns use NWU frame, position relative to first GPS fix
#   GPS values interpolated to sensor timestamps (NaN = outside GPS coverage)
#
# COLUMN DESCRIPTIONS:
#   timestamp: Time since data start
#   r00-r22: Rotation matrix (body-to-earth transform, row-major)
#            To rotate vector v from body to earth: v_earth = R * v_body
#   roll/pitch/yaw: Euler angles (earth frame)
#   accel_body_*: Raw accelerometer reading (body frame)
#   accel_earth_*: Raw accelerometer rotated to earth frame
#   earth_accel_*: Acceleration in earth frame with gravity removed
#   gravity_body_*: Estimated gravity vector in body frame
#   linear_accel_*: Linear acceleration in body frame (gravity removed)
#   gyro_*: Angular velocity (body frame)
#   q*: Orientation quaternion (body-to-earth, scalar-first: w,x,y,z)
#   mag_*: Calibrated magnetometer reading (body frame, µT)
#   gps_lat/gps_lon/gps_hMSL: GPS position (WGS84)
#   gps_pos_north/west/up: Local position (meters from origin, NWU)
#   gps_vel_north/west/up: GPS velocity (m/s, NWU)
#   gps_svel_north/west/up: Smoothed GPS velocity (m/s, NWU, SG filtered)
#   gps_accel_north/west/up: GPS-derived acceleration (m/s², NWU)
#   gps_hspeed: Horizontal speed (m/s)
#   gps_numSV: Number of satellites
#
timestamp,r00,r01,r02,r10,r11,r12,r20,r21,r22,roll,pitch,yaw,accel_body_x,accel_body_y,accel_body_z,accel_earth_x,accel_earth_y,accel_earth_z,earth_accel_x,earth_accel_y,earth_accel_z,gravity_body_x,gravity_body_y,gravity_body_z,linear_accel_x,linear_accel_y,linear_accel_z,gyro_x,gyro_y,gyro_z,qw,qx,qy,qz,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_hMSL,gps_pos_north,gps_pos_west,gps_pos_up,gps_vel_north,gps_vel_west,gps_vel_up,gps_svel_north,gps_svel_west,gps_svel_up,gps_accel_north,gps_accel_west,gps_accel_up,gps_hspeed,gps_numSV
s,-,-,-,-,-,-,-,-,-,deg,deg,deg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,deg/s,deg/s,deg/s,-,-,-,-,uT,uT,uT,deg,deg,m,m,m,m,m/s,m/s,m/s,m/s,m/s,m/s,m/s2,m/s2,m/s2,m/s,-
0.818775,-0.118411,0.063248,-0.990948,-0.070354,0.994927,0.071909,0.990469,0.078232,-0.113361,145.3898,-82.0832,-149.2833,0.058590,-0.089840,0.937500,-0.941634,-0.026092,-0.055272,-0.000014,-0.000103,-0.098921,0.078232,-0.113361,0.990469,-0.007842,0.011221,-0.097969,-0.7930,-2.1360,-6.3470,0.663919,0.002381,-0.746106,-0.050308,-0.0213,-0.5205,-0.4778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.893826,-0.139758,0.057036,-0.988542,-0.123283,0.989569,0.074524,0.982481,0.132285,-0.131268,134.7789,-79.2594,-138.5840,0.128900,-0.107910,1.007810,-1.020432,-0.047569,-0.019927,-0.007703,0.011576,-0.019665,0.132285,-0.131268,0.982481,0.008415,0.011058,-0.019671,-10.0700,-2.9900,-18.2490,0.655466,0.022030,-0.751764,-0.068775,-0.0183,-0.5107,-0.4772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.968877,-0.251389,0.076799,-0.964835,-0.060158,0.993680,0.094769,0.966015,0.081867,-0.245180,161.5356,-75.0197,-166.5420,0.049800,-0.247070,0.980950,-0.977948,-0.155541,-0.212629,0.019693,-0.019675,-0.027223,0.081867,-0.245180,0.966015,-0.020267,-0.014190,-0.030065,-14.7700,3.8450,-11.9010,0.611782,-0.005272,-0.789026,-0.055966,-0.0117,-0.4943,-0.4790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.043928,-0.203510,0.044225,-0.978073,-0.032965,0.998103,0.051990,0.978518,0.042823,-0.201666,168.0115,-78.1024,-170.7989,0.015620,-0.151360,0.996090,-0.984122,-0.099801,-0.192075,-0.032273,-0.012494,-0.035163,0.042823,-0.201666,0.978518,-0.015403,0.038006,-0.027428,-7.5680,1.4640,1.6470,0.631056,-0.003632,-0.775126,-0.030580,-0.0117,-0.4943,-0.4790,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.118981,-0.235114,0.005409,-0.971953,-0.048082,0.998695,0.017189,0.970778,0.050775,-0.234547,167.7850,-76.1146,-168.4420,0.036620,-0.210440,0.964350,-0.947051,-0.195350,-0.201321,0.000603,0.000324,-0.052814,0.050775,-0.234547,0.970778,-0.002355,0.011807,-0.051428,-7.7510,-3.2950,3.7230,0.618271,0.013581,-0.785550,-0.021630,-0.0177,-0.4919,-0.4881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.194031,-0.218978,-0.016715,-0.975587,-0.118559,0.992901,0.009600,0.968500,0.117767,-0.219405,151.7751,-75.5808,-151.5680,0.112300,-0.189940,0.981440,-0.978896,-0.192484,-0.128939,-0.009832,0.010254,-0.034070,0.117767,-0.219405,0.968500,0.006333,0.017165,-0.032060,-0.6100,-13.0610,2.9290,0.623401,0.043378,-0.779629,-0.040842,-0.0291,-0.4951,-0.4918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.269082,-0.182824,-0.011685,-0.983076,-0.132201,0.991140,0.012805,0.974217,0.132305,-0.182749,144.0966,-76.9610,-144.1291,0.101070,-0.135250,0.972160,-0.972605,-0.134965,-0.097092,-0.025773,-0.012591,-0.054847,0.132305,-0.182749,0.974217,-0.019435,0.035199,-0.047057,-2.6850,-12.0840,5.4930,0.637489,0.046864,-0.767580,-0.047262,-0.0423,-0.4846,-0.4740,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.344133,-0.252558,-0.015480,-0.967458,-0.226521,0.973032,0.043564,0.940693,0.230152,-0.249253,137.2817,-70.1682,-138.1108,0.269040,-0.272460,0.975580,-1.007563,-0.283555,-0.052790,0.036121,0.050065,0.011003,0.230152,-0.249253,0.940693,0.050688,-0.035507,-0.010113,-3.2950,-6.1030,4.5160,0.606469,0.076915,-0.786582,-0.086995,-0.0423,-0.4846,-0.4740,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.419184,-0.227682,0.040991,-0.972872,-0.108467,0.991828,0.067174,0.967676,0.120819,-0.221375,151.3757,-75.3924,-154.5270,0.075190,-0.174310,0.987790,-0.985258,-0.114687,-0.166972,-0.029543,-0.028518,-0.035864,0.120819,-0.221375,0.967676,-0.033829,0.034765,-0.024886,-0.3660,16.2960,9.4600,0.621042,0.021595,-0.781167,-0.060164,-0.0324,-0.4888,-0.4827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
