# FlySight Sensor Fusion Export
# Generated: 2026-03-31T06:11:08.607Z
# Algorithm: fusion
# Source file: SENSOR.CSV
# Frames: 12629
# GPS data: 18879 points
#
# COORDINATE SYSTEMS:
#   Earth Frame (NWU): X=North, Y=West, Z=Up (right-handed)
#   Body Frame: Sensor-fixed frame, orientation depends on mounting
#   GPS columns use NWU frame, position relative to first GPS fix
#   GPS values interpolated to sensor timestamps (NaN = outside GPS coverage)
#
# COLUMN DESCRIPTIONS:
#   timestamp: Time since data start
#   r00-r22: Rotation matrix (body-to-earth transform, row-major)
#            To rotate vector v from body to earth: v_earth = R * v_body
#   roll/pitch/yaw: Euler angles (earth frame)
#   accel_body_*: Raw accelerometer reading (body frame)
#   accel_earth_*: Raw accelerometer rotated to earth frame
#   earth_accel_*: Acceleration in earth frame with gravity removed
#   gravity_body_*: Estimated gravity vector in body frame
#   linear_accel_*: Linear acceleration in body frame (gravity removed)
#   gyro_*: Angular velocity (body frame)
#   q*: Orientation quaternion (body-to-earth, scalar-first: w,x,y,z)
#   mag_*: Calibrated magnetometer reading (body frame, µT)
#   gps_lat/gps_lon/gps_hMSL: GPS position (WGS84)
#   gps_pos_north/west/up: Local position (meters from origin, NWU)
#   gps_vel_north/west/up: GPS velocity (m/s, NWU)
#   gps_svel_north/west/up: Smoothed GPS velocity (m/s, NWU, SG filtered)
#   gps_accel_north/west/up: GPS-derived acceleration (m/s², NWU)
#   gps_hspeed: Horizontal speed (m/s)
#   gps_numSV: Number of satellites
#
timestamp,r00,r01,r02,r10,r11,r12,r20,r21,r22,roll,pitch,yaw,accel_body_x,accel_body_y,accel_body_z,accel_earth_x,accel_earth_y,accel_earth_z,earth_accel_x,earth_accel_y,earth_accel_z,gravity_body_x,gravity_body_y,gravity_body_z,linear_accel_x,linear_accel_y,linear_accel_z,gyro_x,gyro_y,gyro_z,qw,qx,qy,qz,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_hMSL,gps_pos_north,gps_pos_west,gps_pos_up,gps_vel_north,gps_vel_west,gps_vel_up,gps_svel_north,gps_svel_west,gps_svel_up,gps_accel_north,gps_accel_west,gps_accel_up,gps_hspeed,gps_numSV
s,-,-,-,-,-,-,-,-,-,deg,deg,deg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,deg/s,deg/s,deg/s,-,-,-,-,uT,uT,uT,deg,deg,m,m,m,m,m/s,m/s,m/s,m/s,m/s,m/s,m/s2,m/s2,m/s2,m/s,-
0.818775,-0.116522,0.037086,-0.992495,-0.073441,0.996245,0.045849,0.990469,0.078232,-0.113361,145.3898,-82.0832,-147.7777,0.058590,-0.089840,0.937500,-0.940623,-0.050823,-0.055272,-0.000012,-0.000103,-0.098921,0.078232,-0.113361,0.990469,-0.007842,0.011221,-0.097969,-0.7930,-2.1360,-6.3470,0.664523,0.012183,-0.746011,-0.041581,-0.0280,-0.1420,-0.4685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.893826,-0.140538,0.072273,-0.987434,-0.121588,0.988523,0.089658,0.982581,0.132660,-0.130137,134.4499,-79.2902,-139.1349,0.128900,-0.107910,1.007810,-1.021060,-0.031986,-0.018814,-0.006443,0.011241,-0.019652,0.132660,-0.130137,0.982581,0.008040,0.009927,-0.019771,-10.0700,-2.9900,-18.2490,0.655334,0.016405,-0.751531,-0.073955,-0.0250,-0.1320,-0.4685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.968877,-0.259635,0.191527,-0.946524,-0.035960,0.977538,0.207667,0.965037,0.087954,-0.246915,160.3934,-74.8045,-172.1146,0.049800,-0.247070,0.980950,-0.988743,-0.039600,-0.215884,0.014293,-0.027303,-0.027313,0.087954,-0.246915,0.965037,-0.026354,-0.012455,-0.029087,-14.7700,3.8450,-11.9010,0.606422,-0.049352,-0.788050,-0.093783,-0.0180,-0.1150,-0.4715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.043928,-0.205436,0.120559,-0.971217,-0.020068,0.991656,0.127341,0.978465,0.045651,-0.201302,167.2226,-78.0877,-174.4207,0.015620,-0.151360,0.996090,-0.988876,-0.023567,-0.192141,-0.033133,-0.012736,-0.035195,0.045651,-0.201302,0.978465,-0.018231,0.037642,-0.027375,-7.5680,1.4640,1.6470,0.629468,-0.032444,-0.774337,-0.055852,-0.0180,-0.1150,-0.4715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.118981,-0.235821,0.020259,-0.971585,-0.044432,0.998512,0.031605,0.970780,0.050623,-0.234570,167.8218,-76.1152,-169.3297,0.036620,-0.210440,0.964350,-0.949847,-0.181276,-0.201311,0.000589,0.000460,-0.052814,0.050623,-0.234570,0.970780,-0.002203,0.011830,-0.051430,-7.7510,-3.2950,3.7230,0.618086,0.007692,-0.785637,-0.026166,-0.0240,-0.1120,-0.4805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.194031,-0.217441,-0.039466,-0.975275,-0.123786,0.992230,-0.012554,0.968192,0.117996,-0.220636,151.8623,-75.5102,-150.3477,0.112300,-0.189940,0.981440,-0.974097,-0.214686,-0.130226,-0.011278,0.009756,-0.034081,0.117996,-0.220636,0.968192,0.006104,0.018396,-0.031752,-0.6100,-13.0610,2.9290,0.623328,0.052360,-0.779472,-0.033818,-0.0360,-0.1150,-0.4835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.269082,-0.182148,-0.018923,-0.983089,-0.133313,0.991058,0.005624,0.974192,0.132083,-0.183042,144.1857,-76.9547,-143.7998,0.101070,-0.135250,0.972160,-0.971570,-0.142047,-0.097349,-0.025961,-0.012572,-0.054852,0.132083,-0.183042,0.974192,-0.019213,0.035492,-0.047032,-2.6850,-12.0840,5.4930,0.637548,0.049588,-0.767504,-0.044856,-0.0510,-0.1050,-0.4655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.344133,-0.254681,-0.002842,-0.967021,-0.223987,0.972974,0.056131,0.940727,0.230896,-0.248435,137.0956,-70.1740,-138.6690,0.269040,-0.272460,0.975580,-1.011151,-0.270598,-0.052185,0.037569,0.048828,0.011011,0.230896,-0.248435,0.940727,0.049944,-0.036325,-0.010147,-3.2950,-6.1030,4.5160,0.606189,0.072075,-0.786780,-0.091203,-0.0510,-0.1050,-0.4655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.419184,-0.243595,0.153232,-0.957696,-0.079961,0.980906,0.177284,0.966575,0.119764,-0.226691,152.1519,-75.1444,-161.8273,0.075190,-0.174310,0.987790,-0.991028,-0.001875,-0.172122,-0.037614,-0.023141,-0.036001,0.119764,-0.226691,0.966575,-0.032774,0.040081,-0.023785,-0.3660,16.2960,9.4600,0.614536,-0.023400,-0.782814,-0.094865,-0.0400,-0.1090,-0.4745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.494236,-0.209967,0.154180,-0.965475,0.009752,0.987769,0.155619,0.977660,0.023259,-0.208902,173.6468,-77.8663,177.3408,-0.024410,-0.190420,1.141600,-1.126420,-0.010675,-0.266777,-0.036473,-0.033309,0.114157,0.023259,-0.208902,0.977660,-0.035869,0.006182,0.118940,-6.5300,13.7930,3.9060,0.626279,-0.052836,-0.775667,-0.057653,-0.0210,-0.1030,-0.4795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
