# FlySight Sensor Fusion Export
# Generated: 2026-04-12T20:14:06.839Z
# Algorithm: fusion
# Source file: SENSOR.CSV
# Frames: 15079
# GPS data: 2976 points
#
# COORDINATE SYSTEMS:
#   Earth Frame (NWU): X=North, Y=West, Z=Up (right-handed)
#   Body Frame: Sensor-fixed frame, orientation depends on mounting
#   GPS columns use NWU frame, position relative to first GPS fix
#   GPS values interpolated to sensor timestamps (NaN = outside GPS coverage)
#
# COLUMN DESCRIPTIONS:
#   timestamp: Time since data start (sensor clock)
#   gps_time: Absolute UTC time (ISO 8601) — from $TIME sync; empty outside GPS coverage
#   r00-r22: Rotation matrix (body-to-earth transform, row-major)
#            To rotate vector v from body to earth: v_earth = R * v_body
#   roll/pitch/yaw: Euler angles (earth frame)
#   accel_body_*: Raw accelerometer reading (body frame)
#   accel_earth_*: Raw accelerometer rotated to earth frame
#   earth_accel_*: Acceleration in earth frame with gravity removed
#   gravity_body_*: Estimated gravity vector in body frame
#   linear_accel_*: Linear acceleration in body frame (gravity removed)
#   gyro_*: Angular velocity (body frame)
#   q*: Orientation quaternion (body-to-earth, scalar-first: w,x,y,z)
#   mag_*: Calibrated magnetometer reading (body frame, µT)
#   gps_lat/gps_lon/gps_hMSL: GPS position (WGS84)
#   gps_pos_north/west/up: Local position (meters from origin, NWU)
#   gps_vel_north/west/up: GPS velocity (m/s, NWU)
#   gps_svel_north/west/up: Smoothed GPS velocity (m/s, NWU, SG filtered)
#   gps_accel_north/west/up: GPS-derived acceleration (m/s², NWU)
#   gps_hspeed: Horizontal speed (m/s)
#   gps_numSV: Number of satellites
#
timestamp,gps_time,r00,r01,r02,r10,r11,r12,r20,r21,r22,roll,pitch,yaw,accel_body_x,accel_body_y,accel_body_z,accel_earth_x,accel_earth_y,accel_earth_z,earth_accel_x,earth_accel_y,earth_accel_z,gravity_body_x,gravity_body_y,gravity_body_z,linear_accel_x,linear_accel_y,linear_accel_z,gyro_x,gyro_y,gyro_z,qw,qx,qy,qz,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_hMSL,gps_pos_north,gps_pos_west,gps_pos_up,gps_vel_north,gps_vel_west,gps_vel_up,gps_svel_north,gps_svel_west,gps_svel_up,gps_accel_north,gps_accel_west,gps_accel_up,gps_hspeed,gps_numSV
s,-,-,-,-,-,-,-,-,-,-,deg,deg,deg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,deg/s,deg/s,deg/s,-,-,-,-,uT,uT,uT,deg,deg,m,m,m,m,m/s,m/s,m/s,m/s,m/s,m/s,m/s2,m/s2,m/s2,m/s,-
55492.928000,2025-05-04T03:42:51.411Z,0.296600,0.953975,-0.044281,-0.953526,0.293246,-0.069250,-0.053078,0.062762,0.996616,3.6035,3.0426,-72.7213,0.036130,0.778320,0.004880,0.752998,0.193451,0.051795,-0.000095,-0.000736,-0.231434,0.062762,0.996616,-0.053078,-0.014832,-0.230596,0.012958,20.5680,8.5440,8.4830,0.804124,0.041042,0.002735,-0.593037,0.0000,0.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55493.003000,2025-05-04T03:42:51.486Z,0.373637,0.888879,-0.265121,-0.916755,0.310345,-0.251488,-0.141263,0.337016,0.930841,19.9031,8.1209,-67.8259,0.316890,0.812500,-0.003410,0.841520,-0.037497,0.225887,0.061928,-0.054853,-0.137529,0.337016,0.930841,-0.141263,-0.008326,-0.130641,0.092853,76.5380,41.5640,33.2030,0.808521,0.181969,-0.038298,-0.558314,0.0000,0.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55493.078000,2025-05-04T03:42:51.561Z,0.354882,0.930896,-0.086551,-0.928966,0.340688,-0.144752,-0.105262,0.131773,0.985675,7.6146,6.0423,-69.0922,-0.063960,1.158200,0.015620,1.054114,0.451740,0.174748,-0.158161,-0.156349,0.125705,0.131773,0.985675,-0.105262,-0.183933,0.160225,0.075882,61.2180,77.1480,31.8600,0.818725,0.084438,0.005714,-0.567914,0.0000,0.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55493.153000,2025-05-04T03:42:51.636Z,0.402881,0.913782,-0.051862,-0.908765,0.392649,-0.141326,-0.108777,0.104068,0.988604,6.0092,6.2448,-66.0909,-0.020990,1.198240,-0.060540,1.089613,0.498118,0.067131,-0.112423,-0.075301,0.182949,0.104068,0.988604,-0.108777,-0.113258,0.197336,0.003237,20.6290,76.1710,44.5550,0.834286,0.073534,0.017055,-0.546140,0.2208,-0.1849,0.0938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55493.228000,2025-05-04T03:42:51.711Z,0.506373,0.862277,-0.008093,-0.850089,0.497597,-0.172474,-0.144693,0.094216,0.984981,5.4638,8.3195,-59.2190,-0.002440,1.036130,-0.090820,0.892930,0.533313,0.008517,-0.068990,-0.056467,0.028987,0.094216,0.984981,-0.144693,-0.084856,0.038849,0.008873,21.9110,64.6360,32.8360,0.864429,0.077129,0.039506,-0.495230,0.1972,-0.1972,0.1314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55493.303000,2025-05-04T03:42:51.786Z,0.572638,0.818731,0.042005,-0.786787,0.563246,-0.252429,-0.230330,0.111501,0.966703,6.5795,13.3165,-53.9522,0.128900,1.088860,-0.175780,0.957913,0.556251,-0.078207,0.033989,-0.018799,0.107255,0.111501,0.966703,-0.230330,0.029199,0.109857,0.009550,43.8230,45.4710,-13.0610,0.880708,0.103306,0.077306,-0.455746,0.2102,-0.1837,0.1707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55493.379000,2025-05-04T03:42:51.862Z,0.567979,0.814183,0.120442,-0.748297,0.571772,-0.336345,-0.342712,0.100911,0.934005,6.1664,20.0422,-52.8005,0.105460,0.913570,-0.292960,0.768428,0.541974,-0.217580,0.012068,0.016803,-0.030553,0.100911,0.934005,-0.342712,0.016349,-0.032735,0.004752,35.7050,64.4530,-29.5410,0.876606,0.124701,0.132087,-0.445605,0.2102,-0.1837,0.1707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55493.454000,2025-05-04T03:42:51.937Z,0.591278,0.786719,0.177380,-0.693084,0.608162,-0.387005,-0.412340,0.105888,0.904855,6.6745,24.3519,-49.5321,0.073730,1.029290,-0.418450,0.779132,0.736817,-0.300049,-0.026346,-0.020355,0.120385,0.105888,0.904855,-0.412340,-0.020358,0.112135,-0.051110,29.6630,77.3920,-13.6710,0.880951,0.139876,0.167354,-0.419945,0.2260,-0.1622,0.2141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55493.529000,2025-05-04T03:42:52.012Z,0.643250,0.747216,0.167025,-0.624786,0.638355,-0.449606,-0.442574,0.184854,0.877472,11.8964,26.2682,-44.1658,0.166500,0.894530,-0.400390,0.708633,0.647019,-0.259662,-0.005914,-0.004564,0.004210,0.184854,0.877472,-0.442574,-0.006554,0.004758,-0.002816,20.3850,72.2040,-3.7230,0.888690,0.178482,0.171488,-0.385962,0.2157,-0.1500,0.2482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
