time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,heading,cAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),(deg),(deg),,
2022-04-30T17:30:41.000Z,40.4307972,-111.7121281,2451.268,-0.06,-0.07,-0.06,0.925,1.138,0.26,229.39871,2.36364,,20
2022-04-30T17:30:41.200Z,40.4307971,-111.7121283,2451.290,0.04,0.00,-0.03,0.927,1.142,0.29,0.00000,5.80000,,20
2022-04-30T17:30:41.400Z,40.4307972,-111.7121284,2451.260,0.12,-0.01,0.30,0.930,1.146,0.29,355.23636,0.89710,,20
2022-04-30T17:30:41.600Z,40.4307973,-111.7121284,2451.218,0.08,0.00,0.29,0.932,1.150,0.29,0.00000,0.96399,,20
2022-04-30T17:30:41.800Z,40.4307974,-111.7121287,2451.156,0.15,-0.16,0.32,0.934,1.153,0.26,313.15239,0.67020,,20
2022-04-30T17:30:42.000Z,40.4307978,-111.7121292,2451.116,0.32,-0.25,0.43,0.936,1.157,0.24,322.00127,0.40579,,20
2022-04-30T17:30:42.200Z,40.4307983,-111.7121303,2450.990,0.37,-0.63,0.89,0.938,1.161,0.25,300.42578,0.21711,,20
2022-04-30T17:30:42.400Z,40.4307992,-111.7121319,2450.728,0.67,-0.72,1.45,0.940,1.165,0.26,312.93989,0.14839,,20
2022-04-30T17:30:42.600Z,40.4308012,-111.7121351,2450.471,1.51,-1.79,1.34,0.941,1.169,0.23,310.15016,0.08524,,20
2022-04-30T17:30:42.800Z,40.4308063,-111.7121423,2450.277,4.17,-4.25,0.76,0.943,1.172,0.24,314.45564,0.03998,,20
2022-04-30T17:30:43.000Z,40.4308125,-111.7121511,2449.663,2.98,-3.34,4.29,0.944,1.174,0.27,311.73984,0.04355,,20
2022-04-30T17:30:43.200Z,40.4308177,-111.7121586,2448.600,2.87,-2.96,6.22,0.947,1.177,0.27,314.11557,0.03618,,20
2022-04-30T17:30:43.400Z,40.4308227,-111.7121659,2447.231,2.63,-3.19,7.84,0.950,1.181,0.27,309.50392,0.03046,,20
2022-04-30T17:30:43.600Z,40.4308273,-111.7121732,2445.419,2.62,-3.12,9.70,0.954,1.183,0.24,310.02164,0.02281,,20
2022-04-30T17:30:43.800Z,40.4308319,-111.7121808,2443.281,2.71,-3.32,11.31,0.957,1.184,0.25,309.22356,0.02067,,20
2022-04-30T17:30:44.000Z,40.4308370,-111.7121887,2440.877,2.84,-3.24,13.11,0.960,1.186,0.25,311.23597,0.01812,,20
2022-04-30T17:30:44.200Z,40.4308419,-111.7121965,2438.022,2.91,-3.44,14.75,0.963,1.190,0.28,310.22889,0.01815,,20
2022-04-30T17:30:44.400Z,40.4308468,-111.7122045,2434.789,2.95,-3.45,16.71,0.966,1.195,0.29,310.53284,0.01675,,20
2022-04-30T17:30:44.600Z,40.4308521,-111.7122130,2431.232,3.27,-3.80,18.14,0.970,1.201,0.32,310.71286,0.01700,,20
2022-04-30T17:30:44.800Z,40.4308583,-111.7122231,2427.436,3.68,-4.63,19.63,0.975,1.207,0.29,308.47825,0.01415,,19
2022-04-30T17:30:45.000Z,40.4308653,-111.7122347,2423.306,4.34,-5.22,20.98,0.979,1.214,0.30,309.74073,0.01360,,19
2022-04-30T17:30:45.200Z,40.4308738,-111.7122476,2418.968,5.22,-5.77,22.00,0.984,1.219,0.29,312.13499,0.01243,,19
2022-04-30T17:30:45.400Z,40.4308836,-111.7122621,2414.426,5.81,-6.45,23.09,0.988,1.225,0.27,312.01174,0.01095,,19
2022-04-30T17:30:45.600Z,40.4308947,-111.7122783,2409.696,6.55,-7.29,24.08,0.991,1.230,0.27,311.93941,0.01039,,19
2022-04-30T17:30:45.800Z,40.4309072,-111.7122967,2404.777,7.44,-8.23,24.91,0.994,1.234,0.26,312.11389,0.00953,,19
2022-04-30T17:30:46.000Z,40.4309213,-111.7123173,2399.723,8.23,-9.18,25.73,0.997,1.239,0.26,311.87668,0.00911,,18
2022-04-30T17:30:46.200Z,40.4309368,-111.7123401,2394.529,8.95,-10.03,26.39,1.000,1.244,0.26,311.74327,0.00878,,18
2022-04-30T17:30:46.400Z,40.4309532,-111.7123648,2389.136,9.49,-10.93,27.14,1.004,1.250,0.26,310.96623,0.00845,,17
2022-04-30T17:30:46.600Z,40.4309702,-111.7123909,2383.473,9.95,-11.58,28.07,1.007,1.255,0.35,310.67049,0.01095,,17
2022-04-30T17:30:46.800Z,40.4309883,-111.7124189,2377.635,10.61,-12.49,28.98,1.010,1.261,0.41,310.34722,0.01231,,17
2022-04-30T17:30:47.000Z,40.4310087,-111.7124498,2371.886,11.74,-13.37,29.49,1.013,1.268,0.36,311.28589,0.01045,,16
2022-04-30T17:30:47.200Z,40.4310310,-111.7124828,2366.074,12.79,-14.28,29.60,1.017,1.275,0.31,311.84948,0.00879,,16
2022-04-30T17:30:47.400Z,40.4310552,-111.7125179,2360.207,13.80,-15.20,29.85,1.021,1.281,0.27,312.23614,0.00745,,16
2022-04-30T17:30:47.600Z,40.4310810,-111.7125548,2354.237,14.60,-15.90,30.28,1.025,1.288,0.27,312.55936,0.00726,,16
2022-04-30T17:30:47.800Z,40.4311083,-111.7125938,2348.224,15.57,-16.88,30.37,1.028,1.293,0.25,312.68824,0.00657,,16
2022-04-30T17:30:48.000Z,40.4311376,-111.7126348,2342.202,16.71,-17.69,30.36,1.029,1.296,0.25,313.36818,0.00643,,16
2022-04-30T17:30:48.200Z,40.4311688,-111.7126777,2336.172,17.85,-18.56,29.99,1.030,1.299,0.25,313.88287,0.00632,,16
2022-04-30T17:30:48.400Z,40.4312019,-111.7127226,2330.258,18.81,-19.33,29.63,1.031,1.302,0.25,314.21888,0.00624,,16
2022-04-30T17:30:48.600Z,40.4312368,-111.7127692,2324.392,19.80,-20.08,29.35,1.032,1.304,0.24,314.59773,0.00590,,16
2022-04-30T17:30:48.800Z,40.4312733,-111.7128174,2318.567,20.64,-20.70,29.26,1.032,1.306,0.24,314.91684,0.00580,,15
2022-04-30T17:30:49.000Z,40.4313113,-111.7128672,2312.778,21.42,-21.38,28.99,1.033,1.307,0.24,315.05355,0.00573,,15
2022-04-30T17:30:49.200Z,40.4313506,-111.7129189,2307.028,22.22,-22.46,28.60,1.033,1.310,0.24,314.69224,0.00563,,15
2022-04-30T17:30:49.400Z,40.4313910,-111.7129732,2301.354,22.63,-23.45,28.28,1.035,1.312,0.26,313.98052,0.00603,,15
2022-04-30T17:30:49.600Z,40.4314323,-111.7130295,2295.756,23.08,-24.20,27.95,1.036,1.314,0.26,313.64299,0.00597,,15
2022-04-30T17:30:49.800Z,40.4314744,-111.7130873,2290.188,23.66,-24.88,27.67,1.038,1.316,0.27,313.56024,0.00612,,15
2022-04-30T17:30:50.000Z,40.4315176,-111.7131469,2284.819,24.35,-25.63,26.00,1.040,1.318,0.27,313.53296,0.00615,,15
2022-04-30T17:30:50.200Z,40.4315622,-111.7132083,2279.702,25.10,-26.48,25.06,1.041,1.320,0.27,313.46744,0.00610,,16
2022-04-30T17:30:50.400Z,40.4316078,-111.7132715,2274.734,25.48,-27.12,24.74,1.043,1.322,0.30,313.21417,0.00671,,16
2022-04-30T17:30:50.600Z,40.4316540,-111.7133360,2269.817,25.82,-27.63,24.25,1.045,1.323,0.29,313.06051,0.00646,,16
2022-04-30T17:30:50.800Z,40.4317008,-111.7134019,2264.990,26.20,-28.22,24.16,1.047,1.324,0.29,312.87423,0.00638,,16
2022-04-30T17:30:51.000Z,40.4317482,-111.7134685,2260.117,26.51,-28.48,24.08,1.049,1.324,0.34,312.94827,0.00743,,16
2022-04-30T17:30:51.200Z,40.4317965,-111.7135354,2255.282,27.14,-28.38,24.00,1.053,1.325,0.34,313.72055,0.00739,,16
2022-04-30T17:30:51.400Z,40.4318460,-111.7136020,2250.397,27.93,-28.25,24.41,1.058,1.327,0.34,314.67365,0.00729,,16
2022-04-30T17:30:51.600Z,40.4318969,-111.7136683,2245.503,28.53,-27.93,24.77,1.063,1.328,0.33,315.60886,0.00702,,16
2022-04-30T17:30:51.800Z,40.4319488,-111.7137340,2240.505,29.10,-27.83,25.15,1.068,1.331,0.33,316.27795,0.00695,,16
2022-04-30T17:30:52.000Z,40.4320013,-111.7137997,2235.403,29.16,-27.94,25.89,1.072,1.336,0.28,316.22400,0.00584,,16
2022-04-30T17:30:52.200Z,40.4320539,-111.7138658,2230.169,29.23,-28.14,26.45,1.075,1.342,0.31,316.08846,0.00640,,16
2022-04-30T17:30:52.400Z,40.4321069,-111.7139333,2225.051,29.56,-29.04,25.07,1.077,1.347,0.31,315.50841,0.00640,,16
2022-04-30T17:30:52.600Z,40.4321603,-111.7140028,2220.227,29.58,-29.84,23.39,1.079,1.354,0.28,314.74930,0.00582,,16
2022-04-30T17:30:52.800Z,40.4322133,-111.7140745,2215.637,29.16,-31.00,22.60,1.080,1.360,0.27,313.24815,0.00560,,16
2022-04-30T17:30:53.000Z,40.4322652,-111.7141488,2211.147,28.43,-31.96,22.44,1.081,1.367,0.27,311.65467,0.00559,,16
2022-04-30T17:30:53.200Z,40.4323157,-111.7142251,2206.643,27.61,-32.76,22.62,1.082,1.374,0.27,310.12406,0.00557,,16
2022-04-30T17:30:53.400Z,40.4323645,-111.7143033,2202.098,26.60,-33.60,22.78,1.083,1.379,0.25,308.36749,0.00515,,16
